m,m_bits,p,p_bits,a,b,N,embedding_degree,time_before_mov,time_after_mov
53330273,26,213321091,28,1,0,213321092,2,0.770634651184082,0.3356306552886963
59652367,26,1071595120787,40,1,0,1071595120788,2,0.6290683746337891,0.2391190528869629
68765113,27,3850846327,32,1,0,3850846328,2,0.6473667621612549,0.2585573196411133
77090269,27,2466888607,32,1,0,2466888608,2,0.6419100761413574,0.24240708351135254
81486211,27,697847911003,40,1,0,697847911004,2,0.7782444953918457,0.364626407623291
89691803,27,3228904907,32,1,0,3228904908,2,0.6618027687072754,0.2740461826324463
170038237,28,46250400463,36,1,0,46250400464,2,1.189335823059082,0.4814128875732422
296345629,29,2370765031,32,1,0,2370765032,2,1.000849723815918,0.3691692352294922
334472011,29,4013664131,32,1,0,4013664132,2,1.3265492916107178,0.5632078647613525
376746589,29,3013972711,32,1,0,3013972712,2,1.6522281169891357,0.7322180271148682
413920271,29,41392027099,36,1,0,41392027100,2,1.6126224994659424,0.6862790584564209
419409527,29,52006781347,36,1,0,52006781348,2,1.2921016216278076,0.5052149295806885
441206977,29,688282884119,40,1,0,688282884120,2,1.5978662967681885,0.8306152820587158
670027903,30,56282343851,36,1,0,56282343852,2,2.4314277172088623,1.0138800144195557
695780149,30,47313050131,36,1,0,47313050132,2,2.2466189861297607,1.0145399570465088
1634197511,31,65367900439,36,1,0,65367900440,2,3.0283470153808594,1.2115886211395264
3073313987,32,676129077139,40,1,0,676129077140,2,4.105149984359741,1.6120409965515137
5218797191,33,62625566291,36,1,0,62625566292,2,4.1808998584747314,1.6064708232879639
6448258711,33,51586069687,36,1,0,51586069688,2,5.773423433303833,2.5151472091674805
6859888379,33,1097582140639,40,1,0,1097582140640,2,8.046544313430786,3.4096102714538574
9693429521,34,38773718083,36,1,0,38773718084,2,6.322267293930054,2.570793867111206
9795480059,34,979548005899,40,1,0,979548005900,2,9.215261220932007,4.0928544998168945
9976633091,34,598597985459,40,1,0,598597985460,2,9.108082056045532,3.856508493423462
18075408991,35,578413087711,40,1,0,578413087712,2,12.638172626495361,5.3115928173065186
41402085713,36,993650057111,40,1,0,993650057112,2,11.323323488235474,4.727298736572266
52360492489,36,1047209849779,40,1,0,1047209849780,2,22.04279136657715,9.674187660217285
57462365381,36,689548384571,40,1,0,689548384572,2,20.22456407546997,8.604301691055298
87618852239,37,1051426226867,40,1,0,1051426226868,2,28.110224962234497,12.250757694244385
188794353581,38,755177414323,40,1,0,755177414324,2,26.944191217422485,11.186949014663696
